 x    y    z    Ex    Ey    Ez
  -20.000000000000000       -14.000000000000000        12.000000000000000       -6.0301425008326098E-004  -4.2210984859161310E-004   3.6180844164995411E-004
  -20.000000000000000       -14.000000000000000        14.000000000000000       -5.7199476432461969E-004  -4.0039628656963409E-004   4.0039628656963409E-004
  -20.000000000000000       -14.000000000000000        16.000000000000000       -5.3937902101425369E-004  -3.7756537667515863E-004   4.3150328762875276E-004
  -20.000000000000000       -14.000000000000000        18.000000000000000       -5.0600320613861821E-004  -3.5420212125380520E-004   4.5540272732632096E-004
  -20.000000000000000       -14.000000000000000        20.000000000000000       -4.7259164257963199E-004  -3.3081413021526942E-004   4.7259161459324198E-004
  -20.000000000000000       -12.000000000000000       -20.000000000000000       -4.9503732519886321E-004  -2.9702234888139559E-004  -4.9503724813565930E-004
  -20.000000000000000       -12.000000000000000       -18.000000000000000       -5.3120223839145538E-004  -3.1872146537596763E-004  -4.7808219806395148E-004
  -20.000000000000000       -12.000000000000000       -16.000000000000000       -5.6745873753307515E-004  -3.4047533394806443E-004  -4.5396711193075259E-004
  -20.000000000000000       -12.000000000000000       -14.000000000000000       -6.0301425008326098E-004  -3.6180844164995411E-004  -4.2210984859161310E-004
  -20.000000000000000       -12.000000000000000       -12.000000000000000       -6.3694252345717196E-004  -3.8216539137657423E-004  -3.8216539137657423E-004
  -20.000000000000000       -12.000000000000000       -10.000000000000000       -6.6821544463637980E-004  -4.0092934486872159E-004  -3.3410778739060139E-004
  -20.000000000000000       -12.000000000000000       -8.0000000000000000       -6.9575546745519298E-004  -4.1745324918615747E-004  -2.7830216612410494E-004
  -20.000000000000000       -12.000000000000000       -6.0000000000000000       -7.1851052023175286E-004  -4.3110619539782845E-004  -2.1555309769891423E-004
  -20.000000000000000       -12.000000000000000       -4.0000000000000000       -7.3553523909756472E-004  -4.4132115073871247E-004  -1.4710705024623748E-004
  -20.000000000000000       -12.000000000000000       -2.0000000000000000       -7.4607510626191508E-004  -4.4764499416856239E-004  -7.4607499028093722E-005
  -20.000000000000000       -12.000000000000000        0.0000000000000000       -7.4964501955224335E-004  -4.4978712189104044E-004   0.0000000000000000     
  -20.000000000000000       -12.000000000000000        2.0000000000000000       -7.4607510626191508E-004  -4.4764499416856239E-004   7.4607499028093722E-005
  -20.000000000000000       -12.000000000000000        4.0000000000000000       -7.3553523909756472E-004  -4.4132115073871247E-004   1.4710705024623748E-004
  -20.000000000000000       -12.000000000000000        6.0000000000000000       -7.1851052023175286E-004  -4.3110619539782845E-004   2.1555309769891423E-004
  -20.000000000000000       -12.000000000000000        8.0000000000000000       -6.9575546745519298E-004  -4.1745324918615747E-004   2.7830216612410494E-004
  -20.000000000000000       -12.000000000000000        10.000000000000000       -6.6821544463637980E-004  -4.0092934486872159E-004   3.3410778739060139E-004
  -20.000000000000000       -12.000000000000000        12.000000000000000       -6.3694252345717196E-004  -3.8216539137657423E-004   3.8216539137657423E-004
  -20.000000000000000       -12.000000000000000        14.000000000000000       -6.0301425008326098E-004  -3.6180844164995411E-004   4.2210984859161310E-004
  -20.000000000000000       -12.000000000000000        16.000000000000000       -5.6745873753307515E-004  -3.4047533394806443E-004   4.5396711193075259E-004
  -20.000000000000000       -12.000000000000000        18.000000000000000       -5.3120223839145538E-004  -3.1872146537596763E-004   4.7808219806395148E-004
  -20.000000000000000       -12.000000000000000        20.000000000000000       -4.9503732519886321E-004  -2.9702234888139559E-004   4.9503724813565930E-004
  -20.000000000000000       -10.000000000000000       -20.000000000000000       -5.1545463719977281E-004  -2.5772728803731521E-004  -5.1545457607463042E-004
  -20.000000000000000       -10.000000000000000       -18.000000000000000       -5.5420337487857270E-004  -2.7710176562176155E-004  -4.9878317811917071E-004
  -20.000000000000000       -10.000000000000000       -16.000000000000000       -5.9317718584251289E-004  -2.9658870209274698E-004  -4.7454192334839523E-004
  -20.000000000000000       -10.000000000000000       -14.000000000000000       -6.3151866402095765E-004  -3.1575934987935095E-004  -4.4206308983109127E-004
  -20.000000000000000       -10.000000000000000       -12.000000000000000       -6.6821544463637936E-004  -3.3410778739060117E-004  -4.0092934486872137E-004
  -20.000000000000000       -10.000000000000000       -10.000000000000000       -7.0213337367367368E-004  -3.5106674860236009E-004  -3.5106674860236009E-004
  -20.000000000000000       -10.000000000000000       -8.0000000000000000       -7.3207691862362261E-004  -3.6603846677045026E-004  -2.9283077341636020E-004
  -20.000000000000000       -10.000000000000000       -6.0000000000000000       -7.5686948190204092E-004  -3.7843472625391777E-004  -2.2706083575235064E-004
  -20.000000000000000       -10.000000000000000       -4.0000000000000000       -7.7544789506357606E-004  -3.8772379614242648E-004  -1.5508951845697060E-004
  -20.000000000000000       -10.000000000000000       -2.0000000000000000       -7.8696349017895538E-004  -3.9348165537190512E-004  -7.8696331074381025E-005
  -20.000000000000000       -10.000000000000000        0.0000000000000000       -7.9086583514359639E-004  -3.9543294469417904E-004   0.0000000000000000     
  -20.000000000000000       -10.000000000000000        2.0000000000000000       -7.8696349017895538E-004  -3.9348165537190512E-004   7.8696331074381025E-005
  -20.000000000000000       -10.000000000000000        4.0000000000000000       -7.7544789506357606E-004  -3.8772379614242648E-004   1.5508951845697060E-004
  -20.000000000000000       -10.000000000000000        6.0000000000000000       -7.5686948190204092E-004  -3.7843472625391777E-004   2.2706083575235064E-004
  -20.000000000000000       -10.000000000000000        8.0000000000000000       -7.3207691862362261E-004  -3.6603846677045026E-004   2.9283077341636020E-004
  -20.000000000000000       -10.000000000000000        10.000000000000000       -7.0213337367367368E-004  -3.5106674860236009E-004   3.5106674860236009E-004
  -20.000000000000000       -10.000000000000000        12.000000000000000       -6.6821544463637936E-004  -3.3410778739060117E-004   4.0092934486872137E-004
  -20.000000000000000       -10.000000000000000        14.000000000000000       -6.3151866402095765E-004  -3.1575934987935095E-004   4.4206308983109127E-004
  -20.000000000000000       -10.000000000000000        16.000000000000000       -5.9317718584251289E-004  -2.9658870209274698E-004   4.7454192334839523E-004
  -20.000000000000000       -10.000000000000000        18.000000000000000       -5.5420337487857270E-004  -2.7710176562176155E-004   4.9878317811917071E-004
  -20.000000000000000       -10.000000000000000        20.000000000000000       -5.1545463719977281E-004  -2.5772728803731521E-004   5.1545457607463042E-004
  -20.000000000000000       -8.0000000000000000       -20.000000000000000       -5.3322678216215181E-004  -2.1329071365460962E-004  -5.3322678413652408E-004
  -20.000000000000000       -8.0000000000000000       -18.000000000000000       -5.7428562915759550E-004  -2.2971422487332339E-004  -5.1685700596497766E-004
  -20.000000000000000       -8.0000000000000000       -16.000000000000000       -6.1569958012342373E-004  -2.4627989285370332E-004  -4.9255978570740663E-004
  -20.000000000000000       -8.0000000000000000       -14.000000000000000       -6.5655267581202865E-004  -2.6262098825325313E-004  -4.5958672944319291E-004
  -20.000000000000000       -8.0000000000000000       -12.000000000000000       -6.9575546745519298E-004  -2.7830216612410494E-004  -4.1745324918615747E-004
  -20.000000000000000       -8.0000000000000000       -10.000000000000000       -7.3207691862362304E-004  -2.9283077341636036E-004  -3.6603846677045048E-004
  -20.000000000000000       -8.0000000000000000       -8.0000000000000000       -7.6421108370070565E-004  -3.0568441842927227E-004  -3.0568441842927227E-004
  -20.000000000000000       -8.0000000000000000       -6.0000000000000000       -7.9086583514359639E-004  -3.1634635575534322E-004  -2.3725976681650743E-004
  -20.000000000000000       -8.0000000000000000       -4.0000000000000000       -8.1086793240806954E-004  -3.2434708750567101E-004  -1.6217354375283550E-004
  -20.000000000000000       -8.0000000000000000       -2.0000000000000000       -8.2327794047479621E-004  -3.2931110616586570E-004  -8.2327776541466424E-005
  -20.000000000000000       -8.0000000000000000        0.0000000000000000       -8.2748520208058510E-004  -3.3099403510282867E-004   0.0000000000000000     
  -20.000000000000000       -8.0000000000000000        2.0000000000000000       -8.2327794047479621E-004  -3.2931110616586570E-004   8.2327776541466424E-005
  -20.000000000000000       -8.0000000000000000        4.0000000000000000       -8.1086793240806954E-004  -3.2434708750567101E-004   1.6217354375283550E-004
  -20.000000000000000       -8.0000000000000000        6.0000000000000000       -7.9086583514359639E-004  -3.1634635575534322E-004   2.3725976681650743E-004
  -20.000000000000000       -8.0000000000000000        8.0000000000000000       -7.6421108370070565E-004  -3.0568441842927227E-004   3.0568441842927227E-004
  -20.000000000000000       -8.0000000000000000        10.000000000000000       -7.3207691862362304E-004  -2.9283077341636036E-004   3.6603846677045048E-004
  -20.000000000000000       -8.0000000000000000        12.000000000000000       -6.9575546745519298E-004  -2.7830216612410494E-004   4.1745324918615747E-004
  -20.000000000000000       -8.0000000000000000        14.000000000000000       -6.5655267581202865E-004  -2.6262098825325313E-004   4.5958672944319291E-004
  -20.000000000000000       -8.0000000000000000        16.000000000000000       -6.1569958012342373E-004  -2.4627989285370332E-004   4.9255978570740663E-004
  -20.000000000000000       -8.0000000000000000        18.000000000000000       -5.7428562915759550E-004  -2.2971422487332339E-004   5.1685700596497766E-004
  -20.000000000000000       -8.0000000000000000        20.000000000000000       -5.3322678216215181E-004  -2.1329071365460962E-004   5.3322678413652408E-004
  -20.000000000000000       -6.0000000000000000       -20.000000000000000       -5.4776756595124171E-004  -1.6433021276072076E-004  -5.4776737586906916E-004
  -20.000000000000000       -6.0000000000000000       -18.000000000000000       -5.9075925089524430E-004  -1.7722777505430070E-004  -5.3168332516290205E-004
  -20.000000000000000       -6.0000000000000000       -16.000000000000000       -6.3422132046355340E-004  -1.9026645597850316E-004  -5.0737721594267503E-004
  -20.000000000000000       -6.0000000000000000       -14.000000000000000       -6.7719021378387237E-004  -2.0315701392810152E-004  -4.7403303249890353E-004
